loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,loan_status,purpose,addr_state,dti,default_flag
3600.0, 36 months,13.99,123.03,C,C4,10+ years,MORTGAGE,55000.0,Fully Paid,debt_consolidation,PA,5.91,0
24700.0, 36 months,11.99,820.28,C,C1,10+ years,MORTGAGE,65000.0,Fully Paid,small_business,SD,16.06,0
20000.0, 60 months,10.78,432.66,B,B4,10+ years,MORTGAGE,63000.0,Fully Paid,home_improvement,IL,10.78,0
35000.0, 60 months,14.85,829.9,C,C5,10+ years,MORTGAGE,110000.0,Current,debt_consolidation,NJ,17.06,0
10400.0, 60 months,22.45,289.91,F,F1,3 years,MORTGAGE,104433.0,Fully Paid,major_purchase,PA,25.37,0
11950.0, 36 months,13.44,405.18,C,C3,4 years,RENT,34000.0,Fully Paid,debt_consolidation,GA,10.2,0
20000.0, 36 months,9.17,637.58,B,B2,10+ years,MORTGAGE,180000.0,Fully Paid,debt_consolidation,MN,14.67,0
20000.0, 36 months,8.49,631.26,B,B1,10+ years,MORTGAGE,85000.0,Fully Paid,major_purchase,SC,17.61,0
10000.0, 36 months,6.49,306.45,A,A2,6 years,RENT,85000.0,Fully Paid,credit_card,PA,13.07,0
8000.0, 36 months,11.48,263.74,B,B5,10+ years,MORTGAGE,42000.0,Fully Paid,credit_card,RI,34.8,0
22400.0, 60 months,12.88,508.3,C,C2,6 years,MORTGAGE,95000.0,Current,debt_consolidation,SC,22.98,0
16000.0, 60 months,12.88,363.07,C,C2,1 year,MORTGAGE,70000.0,Current,debt_consolidation,TX,26.4,0
1400.0, 36 months,12.88,47.1,C,C2,3 years,MORTGAGE,64000.0,Fully Paid,other,NC,34.95,0
18000.0, 60 months,19.48,471.7,E,E2,7 years,RENT,150000.0,Charged Off,debt_consolidation,CA,9.39,1
28000.0, 36 months,6.49,858.05,A,A2,10+ years,MORTGAGE,92000.0,Fully Paid,debt_consolidation,NC,21.6,0
9600.0, 36 months,7.49,298.58,A,A4,8 years,MORTGAGE,60000.0,Fully Paid,credit_card,SC,22.44,0
25000.0, 36 months,7.49,777.55,A,A4,10+ years,MORTGAGE,109000.0,Fully Paid,debt_consolidation,VA,26.02,0
18000.0, 60 months,11.99,400.31,C,C1,10+ years,MORTGAGE,112000.0,Fully Paid,debt_consolidation,AZ,8.68,0
23000.0, 60 months,8.49,471.77,B,B1,5 years,RENT,64000.0,Current,credit_card,NY,18.28,0
8650.0, 36 months,19.89,320.99,E,E3,8 years,RENT,55000.0,Fully Paid,debt_consolidation,IN,25.49,0
29900.0, 60 months,12.88,678.49,C,C2,10+ years,MORTGAGE,65000.0,Fully Paid,debt_consolidation,MD,21.77,0
16000.0, 60 months,14.85,379.39,C,C5,10+ years,MORTGAGE,48000.0,Fully Paid,credit_card,SC,33.18,0
28000.0, 36 months,13.44,949.38,C,C3,2 years,OWN,125000.0,Fully Paid,debt_consolidation,NY,7.49,0
5000.0, 36 months,13.44,169.54,C,C3,2 years,RENT,79000.0,Fully Paid,credit_card,MD,12.7,0
6000.0, 36 months,7.49,186.61,A,A4,10+ years,MORTGAGE,100000.0,Fully Paid,debt_consolidation,TX,13.28,0
4225.0, 36 months,14.85,146.16,C,C5,5 years,RENT,35000.0,Charged Off,debt_consolidation,KS,15.22,1
